item_id,title,brand,rating,num_ratings,price,shipping,img_url,max_res,display_port,hdmi,direct_x,model,shipping_fee
137,MSI Mech Radeon RX 6650 XT 8GB GDDR6 PCI Express 4.0 Video Card RX 6650 XT MECH 2X 8G OC,MSI,4.5,83,279.99,Free Shipping,https://www.newegg.com/msi-rx-6650-xt-mech-2x-8g-oc/p/N82E16814137737,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RX 6650 XT MECH 2X 8G OC,0.0
932,"GIGABYTE GeForce RTX 4070 Ti AERO OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TAERO OC-12GD Video Card",GIGABYTE,4.8,33,899.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4070-ti-gv-n407taero-oc-12gd/p/N82E16814932582,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,GV-N407TAERO OC-12GD,0.0
930,ASRock Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX6600 CLD 8G,ASRock,4.7,162,219.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6600-rx6600-cld-8g/p/N82E16814930066,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX6600 CLD 8G,0.0
137,MSI Gaming GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti GAMING X TRIO 12G,MSI,4.8,57,879.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4070-ti-rtx-4070-ti-gaming-x-trio-12g/p/N82E16814137771,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1a,DirectX 12 Ultimate,RTX 4070 Ti GAMING X TRIO 12G,0.0
126,"ASUS TUF Gaming GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4090-O24G-GAMING",ASUS,4.4,59,1799.99,Free Shipping,https://www.newegg.com/asus-geforce-rtx-4090-tuf-rtx4090-o24g-gaming/p/N82E16814126594,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,TUF-RTX4090-O24G-GAM,0.0
126,"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TI-O12G-GAMING",ASUS,4.6,48,849.99,Free Shipping,https://www.newegg.com/asus-geforce-rtx-4070-ti-tuf-rtx4070ti-o12g-gaming/p/N82E16814126606,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1a,,TUF-RTX4070TI-O12G-GAMING,0.0
930,ASRock Phantom Gaming Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XT PG 20GO,ASRock,4.9,9,799.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-7900-xt-rx7900xt-pg-20go/p/N82E16814930083,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,,RX7900XT PG 20GO,0.0
150,XFX SPEEDSTER MERC310 Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 Video Card RX-79XMERCB9,XFX,4.7,41,1029.99,Free Shipping,https://www.newegg.com/xfx-radeon-rx-7900-xtx-rx-79xmercb9/p/N82E16814150878,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,,RX-79XMERCB9,0.0
930,ASRock Challenger Arc A380 6GB GDDR6 PCI Express 4.0 ITX Video Card A380 CLI 6G OC,ASRock,3.8,54,119.99,Free Shipping,https://www.newegg.com/asrock-arc-a380-a380-cli-6g/p/N82E16814930076,7680 x 4320,3 x DisplayPort 2.0,1 x HDMI 2.0b,,A380 CLI 6G OC,0.0
202,SAPPHIRE NITRO Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11322-01-40G,Sapphire Tech,4.6,16,1179.99,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-7900-xtx-11322-01-40g/p/N82E16814202428,7680 x 4320,2 x DisplayPort 2.1,2 x HDMI 2.1,,11322-01-40G,0.0
137,MSI Suprim GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 SUPRIM X 24G,MSI,4.4,22,1739.99,$19.99 Shipping,https://www.newegg.com/msi-geforce-rtx-4090-rtx-4090-suprim-x-24g/p/N82E16814137760,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4090 SUPRIM X 24G,19.99
930,ASRock Phantom Gaming D Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT PGD 8GO,ASRock,4.2,5,269.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6600-xt-rx6600xt-pgd-8g/p/N82E16814930064,7680 x 4320,3 x DisplayPort 1.4 with DSC,1 x HDMI 2.1 VRR,,RX6600XT PGD 8GO,0.0
